2017-11-07 13:06:53,b'Denver CO #USA - Junior Marketing Assistant Entry Level Marketing and Advertising - We are ... https://t.co/NkrsqHkrJg #SOUTHERN-CALIFORNIA'
2017-11-07 09:06:51,b'Nashville TN #USA - Field Technician II Nashville TN - Demonstrates a degree of experience ... https://t.co/h3rXqyBk8S #SOUTHERN-CALIFORNIA'
2017-11-07 07:06:50,b'Greenville TX #USA - IT End-User Specialist 2 - IT End-User Specialist 2 Description The IT... https://t.co/oy5c553aBu #SOUTHERN-CALIFORNIA'
2017-11-07 06:06:49,b'Seattle WA #USA - New School Occupational Therapy #Job - Washington School... https://t.co/2Q6gdk0T2u #LOS-ANGELES #SOUTHERN-CALIFORNIA #CA'
2017-11-07 03:07:08,b'Tucson AZ #USA - Before And After School Child Care - I need someone who is available Tuesd... https://t.co/CMCXzlKFXY #SOUTHERN-CALIFORNIA'
2017-11-07 02:07:07,b'Tucson AZ #USA - Occupational Therapist - 12000 Sign On Bonus - Plans and conducts individu... https://t.co/ly5f87Edel #SOUTHERN-CALIFORNIA'
2017-11-06 21:06:45,b'Tempe AZ #USA - Retail Banking Development Program Trainee - Tempe AZ - The Retail Banking ... https://t.co/164JKXy6OR #SOUTHERN-CALIFORNIA'
2017-11-06 20:06:45,b'Detroit MI #USA - Partial Remote Senior Database Engineer - A software company is searching... https://t.co/0I4jrpLBvl #SOUTHERN-CALIFORNIA'
2017-11-06 18:07:43,"b""Southern California commuting nation's most stressful...\n      #Commuting #stress #Southern #California https://t.co/lZi7CUlMOa"""
2017-11-06 18:07:04,b'San Leandro #CA #USA - warehouse - We are seeking a Warehousex2Fdriver to... https://t.co/DpZB88ABCg #LOS-ANGELES #SOUTHERN-CALIFORNIA #JOB'
2017-11-06 18:06:44,b'San Jose #CA #USA - Sales / Warehouse / Retail - Warehouse x2F Retail x2F... https://t.co/xkkf8K4kt4 #LOS-ANGELES #SOUTHERN-CALIFORNIA #JOB'
2017-11-06 18:00:06,"b""RT @BeltwayPundit: #Southern #California #commuting nation's most stressful... https://t.co/0uvlbXNaeT"""
2017-11-06 18:00:04,"b""RT @_drudgereport_: #Southern #California #commuting nation's most stressful... https://t.co/4CBy3vouAN"""
2017-11-06 18:00:04,"b""RT @BeltwayPundit: #Southern #California #commuting nation's most stressful... https://t.co/0uvlbXNaeT"""
2017-11-06 18:00:02,"b""RT @_drudgereport_: #Southern #California #commuting nation's most stressful... https://t.co/4CBy3vouAN"""
2017-11-06 18:00:00,"b""#Southern #California #commuting nation's most stressful... https://t.co/0uvlbXNaeT"""
2017-11-06 17:59:57,"b""#Southern #California #commuting nation's most stressful... https://t.co/4CBy3vouAN"""
2017-11-06 17:59:57,"b""#Southern #California #commuting nation's most stressful... https://t.co/uPwgJCcYdG"""
2017-11-06 17:06:44,b'New York NY #USA - Government Contract Manager - Experience responding to requests for prop... https://t.co/RApiD8knvq #SOUTHERN-CALIFORNIA'
2017-11-06 15:06:43,b'Oklahoma City OK #USA - Project Management Specialist - Performs multiple assignments as re... https://t.co/5HDI03k6s2 #SOUTHERN-CALIFORNIA'
2017-11-06 14:06:43,b'Kendall FL #USA - Retail Sales Representative - The #Job Window is seeking... https://t.co/Vkt9IhNt2Q #LOS-ANGELES #SOUTHERN-CALIFORNIA #CA'
2017-11-06 13:06:42,b'Denver CO #USA - Hotel Maintenance Engineer - Performs systematic checks and inspections to... https://t.co/EkyCeIDY0H #SOUTHERN-CALIFORNIA'
2017-11-06 10:06:40,b'Suffolk VA #USA - Member Experience Manager - Anytime Fitness Harbour View - Anytime Fitnes... https://t.co/GKLakoUbno #SOUTHERN-CALIFORNIA'
2017-11-06 09:07:00,b'Stow OH #USA - Shipping and Receiving - ...nbspinventory using Material Handling Equipment ... https://t.co/fZbcmsGq5C #SOUTHERN-CALIFORNIA'
2017-11-06 08:07:00,b'Saint Paul MN #USA - PACU Travel Nurse RN- St Paul #Job ID 276402 - Requir... https://t.co/BgF9DzdnJ7 #LOS-ANGELES #SOUTHERN-CALIFORNIA #CA'
2017-11-06 07:06:59,b'Miami FL #USA - HVAC Sales Rep - ...nbspregion for new HVAC Installation Projects. Responsi... https://t.co/OQHlVfKZEB #SOUTHERN-CALIFORNIA'
2017-11-06 06:06:58,b'Fort Worth TX #USA - Lead Diagnostic Automotive Technician - The #Job This... https://t.co/wAPWz0KHqe #LOS-ANGELES #SOUTHERN-CALIFORNIA #CA'
2017-11-06 06:06:38,b'Grand Prairie TX #USA - AUTOMOTIVE AND OR DIESEL TECHNICIAN - Mainstreet Auto Repair is a f... https://t.co/WnGA1GsKHm #SOUTHERN-CALIFORNIA'
